item,sales_last_2_weeks,current_inventory,incoming_inventory,committed_quantity,recommended_order
Eleocharis pusilla 'Mini' 1-2-Grow (Dwarf Hair Grass),11,6,0,11,18
Anubias Barteri var. nana potted,4,0,0,4,9
Limnobium laevigatum 1-2-Grow,2,-2,0,2,9
Phyllanthus fluitans (Red root Floater) 1-2-Grow,7,9,0,6,7
Vesicularia ferriei 'Weeping Moss ' 1-2-Grow,1,-1,0,1,7
Ludwigia palustris (Super Red) potted,2,2,0,3,6
Tropica Premium Universal Fertilizer 125 ML,1,2,0,1,4
Anubias Barteri var. nana 1-2-Grow,1,3,0,1,3
Marsilea hirsuta 1-2-Grow,1,4,0,2,3
Limnophila sessiliflora potted,3,7,0,3,1
Staurogyne repens 1-2-Grow,2,4,0,0,1
Alternanthera reineckii 'Mini' 1-2-Grow,0,6,0,0,0
Bacopa caroliniana 1-2 Grow,0,0,0,0,0
Hydrocotyle tripartita 1-2-Grow,0,0,0,0,0
Micranthemum tweediei 'Monte Carlo' 1-2-Grow,3,6,0,0,0
Tropica Aquarium Soil 1L,0,0,0,0,0
Tropica Nutrition Capsules 10pcs,0,0,0,0,0
Vesicularia dubyana 'Christmas Moss ' 1-2-Grow,2,9,0,3,0
